Iteration,Approximation,Error,Slope
0,-0.25,0.10019480579269929,0
1,0.22747757383331213,-0.37728276804061284,-0.47747757383331213
2,-0.06762599466688074,-0.08217919954041997,0.29510356850019287
3,-0.2500224278712059,0.10021723366390517,0.18239643320432514
4,-0.13729286470413227,-0.01251232950316844,-0.11272956316707361
5,-0.206965029825933,0.057159835618632304,0.06967216512180074
6,-0.1639043591696903,0.014099164962389582,-0.04306067065624272
7,-0.13728102569983408,-0.012524168507466626,-0.02662333346985621
8,-0.15373549632397265,0.0039303021166719465,0.016454470624138573
9,-0.14356586058593893,-0.006239333621361781,-0.010169635738033728
10,-0.14985117315579907,4.597894849836526e-05,0.006285312569860146
11,-0.14596655475662718,-0.003838639450673531,-0.0038846183991718963
12,-0.14836743139393982,-0.0014377628133608877,0.0024008766373126433
13,-0.1498580822436173,5.288803631658956e-05,0.0014906508496774773
14,-0.14893679000030613,-0.0008684042069945774,-0.000921292243311167
15,-0.1495061918812154,-0.00029900232608531807,0.0005694018809092594
16,-0.1498538553773579,4.8661170057195946e-05,0.000347663496142514
17,-0.14963898300644163,-0.0001662112008590788,-0.00021487237091627476
18,-0.14977178422456044,-3.34099827402623e-05,0.0001328012181188165
19,-0.14985647787214132,5.128366484061231e-05,8.469364758087461e-05
20,-0.14980413321974279,-1.0609875579215e-06,-5.234465239853381e-05
21,-0.14983648467363558,3.1290466334876754e-05,3.2351453892798254e-05
22,-0.14981648995553126,1.1295748230555347e-05,-1.9994718104321407e-05
23,-0.14980251333389583,-2.680873404881101e-06,-1.3976621635436448e-05
24,-0.14981115154257038,5.957335269674013e-06,8.638208674555115e-06
25,-0.1498058127238593,6.185165585814723e-07,-5.338818711092541e-06
26,-0.14980351409368758,-1.6801136131228134e-06,-2.2986301717042856e-06
27,-0.14980493475510398,-2.594521967269614e-07,1.420661416395852e-06
28,-0.1498051942073007,0.0,2.594521967269614e-07
